id,title,status,description,posted_date,closing_date,min_experience,duration,budget
SOL-2023-0045,"City Route Bidding - San Francisco",open,"Seeking bids for 5 city delivery routes in the San Francisco metropolitan area. Routes cover downtown and surrounding neighborhoods.",2023-05-10,2023-06-15,2,12,"$25-28/hr"
SOL-2023-0038,"Rural Delivery Contract - Texas",closing,"Contractor needed for rural mail delivery in eastern Texas. Total of 3 routes covering approximately 120 miles daily.",2023-04-22,2023-05-25,3,24,"$23-25/hr"
SOL-2023-0030,"Express Mail Transport - Chicago",review,"Express mail transport service needed for Chicago metropolitan area. Daily pickups from distribution center to local post offices.",2023-04-05,2023-05-10,5,36,"$30-35/hr"
SOL-2023-0052,"Package Delivery - NYC",open,"Package delivery service for Manhattan and Brooklyn areas. High volume during holiday seasons. Vehicle provided.",2023-05-15,2023-06-30,1,12,"$26-29/hr"
SOL-2023-0048,"Highway Contract Route - Florida",open,"Highway contract route connecting Miami, Fort Lauderdale, and West Palm Beach distribution centers. Daily trips required.",2023-05-12,2023-06-20,4,48,"$28-32/hr"
SOL-2023-0042,"Seasonal Package Delivery - Colorado",closing,"Seasonal package delivery service for Denver and surrounding areas. 3-month contract with possible extension.",2023-05-01,2023-05-25,1,3,"$22-24/hr"
SOL-2023-0039,"Rural Carrier Associate - Oregon",open,"Rural carrier associate needed for multiple routes in western Oregon. Weekend availability required.",2023-04-25,2023-06-10,0,6,"$19-22/hr"
SOL-2023-0035,"City Carrier Assistant - Atlanta",open,"Multiple city carrier assistant positions available in Atlanta metro area. Training provided.",2023-04-18,2023-05-30,0,12,"$18-21/hr"
SOL-2023-0028,"Highway Contract Route - Midwest",review,"Long-haul highway contract route connecting distribution centers in Illinois, Indiana, and Ohio.",2023-04-01,2023-05-05,6,60,"$32-36/hr"
SOL-2023-0050,"Last Mile Delivery - Seattle",open,"Last mile delivery service for Seattle and Tacoma areas. Focus on residential package delivery.",2023-05-14,2023-06-25,2,24,"$24-27/hr"
SOL-2023-0043,"Special Route Contract - Las Vegas",closing,"Special delivery route servicing Las Vegas Strip and surrounding areas. Evening shifts required.",2023-05-02,2023-05-28,3,12,"$26-30/hr"
SOL-2023-0037,"Rural Delivery - New England",open,"Multiple rural delivery routes available in New Hampshire and Vermont. All-weather capability required.",2023-04-20,2023-06-05,2,36,"$24-26/hr"
